outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,all_test1,test1,2011,52,1,28,24,0.4807692307692308,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.49694749694749696,-0.016178266178266176,-1.0384615384615385,-1.625
primary,all_test1,test2,2011,52,1,25,27,0.4807692307692308,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.48962148962148966,-0.008852258852258876,-1.1730769230769231,-1.125
primary,agree,test1,2012,60,1,35,25,0.5,0.56,0.43,0.01,0.5058333333333334,-0.005833333333333357,-3.654166666666667,0.125
primary,agree,test2,2012,60,1,35,25,0.5,0.56,0.43,0.01,0.5058333333333334,-0.005833333333333357,-3.654166666666667,0.125
primary,disagree,test1,2012,18,0,10,8,0.6111111111111112,0.56,0.43,0.01,0.5022222222222222,0.10888888888888892,4.055555555555555,10.0
primary,disagree,test2,2012,18,0,8,10,0.3888888888888889,0.56,0.43,0.01,0.48777777777777787,-0.09888888888888897,-4.055555555555555,-10.0
primary,all_test1,test1,2012,78,1,45,33,0.5256410256410257,0.56,0.43,0.01,0.505,0.020641025641025657,-1.875,1.375
primary,all_test1,test2,2012,78,1,43,35,0.47435897435897434,0.56,0.43,0.01,0.5016666666666667,-0.027307692307692366,-3.746794871794872,-0.625
primary,agree,test1,2013,113,1,70,43,0.48672566371681414,0.576271186440678,0.4180790960451977,0.005649717514124294,0.5160741962901855,-0.029348532573371333,0.6858407079646017,-0.25
primary,agree,test2,2013,113,1,70,43,0.48672566371681414,0.576271186440678,0.4180790960451977,0.005649717514124294,0.5160741962901855,-0.029348532573371333,0.6858407079646017,-0.25
primary,disagree,test1,2013,43,0,26,17,0.5581395348837209,0.576271186440678,0.4180790960451977,0.005649717514124294,0.513730127447116,0.04440940743660493,4.703488372093023,0.5
primary,disagree,test2,2013,43,0,17,26,0.4418604651162791,0.576271186440678,0.4180790960451977,0.005649717514124294,0.48062015503875966,-0.03875968992248058,-4.703488372093023,-0.5
primary,all_test1,test1,2013,156,1,96,60,0.5064102564102564,0.576271186440678,0.4180790960451977,0.005649717514124294,0.5154280747501085,-0.009017818339852157,1.7932692307692308,0.25
