outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,test1_pooled,2025,237,0,129,108,0.4472573839662447,0.5506072874493927,0.4493927125506073,0.0,0.5044841900271614,-0.05722680606091668,-38.663502109704645,-27.25
secondary,test2_up,2025,146,0,146,0,0.5205479452054794,0.5506072874493927,0.4493927125506073,0.0,0.5506072874493927,-0.030059342243913267,-0.3202054794520548,23.25
secondary,test2_down,2025,101,0,0,101,0.40594059405940597,0.5506072874493927,0.4493927125506073,0.0,0.4493927125506073,-0.04345211849120134,-42.165841584158414,-64.25
secondary,test2_pooled,2025,247,0,146,101,0.47368421052631576,0.5506072874493927,0.4493927125506073,0.0,0.5092199511547476,-0.035535740628431844,-17.431174089068826,-10.75
secondary,always_long,2025,247,0,247,0,0.5506072874493927,0.5506072874493927,0.4493927125506073,0.0,0.5506072874493927,0.0,17.05263157894737,36.5
secondary,test1_bull,2026,75,0,75,0,0.5733333333333334,0.5302013422818792,0.4697986577181208,0.0,0.5302013422818792,0.043131991051454155,37.6,50.5
secondary,test1_bear,2026,66,0,0,66,0.48484848484848486,0.5302013422818792,0.4697986577181208,0.0,0.4697986577181208,0.015049827130364068,-39.196969696969695,-9.75
secondary,test1_pooled,2026,141,0,75,66,0.5319148936170213,0.5302013422818792,0.4697986577181208,0.0,0.5019277452520349,0.029987148364986393,1.6524822695035462,28.25
secondary,test2_up,2026,85,0,85,0,0.5647058823529412,0.5302013422818792,0.4697986577181208,0.0,0.5302013422818792,0.03450454007106196,46.370588235294115,49.5
secondary,test2_down,2026,64,0,0,64,0.515625,0.5302013422818792,0.4697986577181208,0.0,0.4697986577181208,0.04582634228187921,-7.8671875,15.5
secondary,test2_pooled,2026,149,0,85,64,0.5436241610738255,0.5302013422818792,0.4697986577181208,0.0,0.5042565650195937,0.03936759605423179,23.073825503355703,32.25
secondary,always_long,2026,149,0,149,0,0.5302013422818792,0.5302013422818792,0.4697986577181208,0.0,0.5302013422818792,0.0,29.83221476510067,10.75
