entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
imp20_pb10,fixed,10.0,fixed,40.0,,30,Validation,396,396,1.0,0.1994949494949495,-1.4532828282828283,-0.14532828282828283,0.18434343434343434,0.8005050505050505,0.015151515151515152,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,30,OOS,179,179,1.0,0.18435754189944134,-1.782122905027933,-0.17821229050279327,0.18435754189944134,0.8156424581005587,0.0,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,60,Discovery,328,328,1.0,0.25609756097560976,-0.4878048780487805,-0.04878048780487805,0.16463414634146342,0.7164634146341463,0.11890243902439024,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,60,Validation,396,396,1.0,0.18434343434343434,-1.7361111111111112,-0.1736111111111111,0.18434343434343434,0.8106060606060606,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,40.0,,60,OOS,179,179,1.0,0.18435754189944134,-1.782122905027933,-0.17821229050279327,0.18435754189944134,0.8156424581005587,0.0,10.0
imp20_pb10,fixed,10.0,rr,,1.0,15,Discovery,328,328,1.0,0.5335365853658537,-0.17759146341463414,-0.01775914634146344,0.5,0.4115853658536585,0.08841463414634146,10.0
imp20_pb10,fixed,10.0,rr,,1.0,15,Validation,396,396,1.0,0.4494949494949495,-2.01010101010101,-0.20101010101010106,0.4494949494949495,0.5505050505050505,0.0,10.0
imp20_pb10,fixed,10.0,rr,,1.0,15,OOS,179,179,1.0,0.29608938547486036,-5.078212290502793,-0.5078212290502794,0.29608938547486036,0.7039106145251397,0.0,10.0
imp20_pb10,fixed,10.0,rr,,1.0,30,Discovery,328,328,1.0,0.5426829268292683,-0.038109756097560975,-0.003810975609756134,0.5304878048780488,0.4268292682926829,0.042682926829268296,10.0
imp20_pb10,fixed,10.0,rr,,1.0,30,Validation,396,396,1.0,0.4494949494949495,-2.01010101010101,-0.20101010101010106,0.4494949494949495,0.5505050505050505,0.0,10.0
