feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
d_volume,Discovery,30,high,278143,1.697273818930307e-05,8.858965272851016e-05,0.001324484784331287,0.0017928750722791952,0.5067609107545399
d_volume,Discovery,60,low,261292,3.391503099123765e-05,0.00013524479307536197,0.0018466749503532258,0.002529221225298413,0.5208464093810756
d_volume,Discovery,60,mid,265786,4.1786143741690435e-05,0.00012072191750389649,0.0015270084953699437,0.0020962961958993368,0.5227250494758942
d_volume,Discovery,60,high,254243,3.030662180958884e-05,0.00013218770654321865,0.00182522672661375,0.002497086107569386,0.5208245654747623
d_volume,Validation,1,low,87287,1.4106002686599685e-06,0.0,0.0003195160485189666,,0.4723842038333314
d_volume,Validation,1,mid,123947,8.073864190906757e-07,0.0,0.0002442662978910441,,0.46115678475477423
d_volume,Validation,1,high,85082,-1.5456717533255986e-06,0.0,0.00032409402958105926,,0.47038151430384806
d_volume,Validation,5,low,86345,-3.1719345175677785e-07,0.0,0.0007121373182650614,0.0008516463135904053,0.4955006080259424
d_volume,Validation,5,mid,123412,2.3180884561218926e-06,0.0,0.0005499688763645759,0.0006616932171734549,0.4931206041551875
d_volume,Validation,5,high,83463,-9.8453129820417e-07,0.0,0.0007045027179010988,0.0008433661682663723,0.4955369445143357
d_volume,Validation,15,low,83796,-1.3880756898325906e-07,5.217845030003332e-05,0.0012158791047085257,0.001530735849626097,0.5069573726669531
d_volume,Validation,15,mid,121325,2.800625533476815e-06,5.1945353488180857e-05,0.0009633339442607675,0.0012071794142986174,0.5095981866886462
d_volume,Validation,15,high,80359,5.354748092942748e-06,5.2091472625859225e-05,0.0012020865557643466,0.0015032301355322858,0.5063651862268072
d_volume,Validation,30,low,80471,-7.278944609538608e-07,8.298755186730844e-05,0.001728360432228079,0.002165685637576088,0.5133029290054802
d_volume,Validation,30,mid,116707,1.5267339463700457e-05,8.334722453740007e-05,0.001375725108916064,0.0017225348220475058,0.517458250147806
d_volume,Validation,30,high,76692,5.077258536563727e-06,6.40758664171015e-05,0.001700023999553243,0.0021247031701051838,0.5122959369947322
d_volume,Validation,60,low,74043,9.607157448167544e-06,0.0001404362887369448,0.002427431710157552,0.0030076189379285964,0.5191847980227705
d_volume,Validation,60,mid,106491,4.552583986777761e-05,0.0001458009331258836,0.0019685199144508425,0.002452113833768582,0.5272933862955554
d_volume,Validation,60,high,70116,1.9600225007154438e-05,0.00013725276851217494,0.0023859142841289043,0.0029544160894370104,0.5201095327742598
d_volume,OOS,1,low,42869,2.935448959124278e-06,0.0,0.0002879129142444093,,0.4770813408290373
d_volume,OOS,1,mid,77095,-8.28682953942757e-07,0.0,0.00021355969505460542,,0.4644399766521824
d_volume,OOS,1,high,42702,1.2851812922554506e-06,0.0,0.000289508257826098,,0.4754578239895087
d_volume,OOS,5,low,42321,8.581761492685707e-06,0.0,0.0006532762882139695,0.0007743668435527243,0.4988067389711963
d_volume,OOS,5,mid,76791,-5.447565829141253e-07,0.0,0.0004797496739150056,0.0005751925814680903,0.49129455274706674
d_volume,OOS,5,high,41846,8.36572827641084e-06,0.0,0.0006328086674944081,0.0007504051126725366,0.4978731539454189
d_volume,OOS,15,low,41096,2.214122804283164e-05,3.725157865186457e-05,0.0011186102630078125,0.0013946025404829373,0.5077866459022776
d_volume,OOS,15,mid,75409,2.4845569524459273e-06,3.2993500280520394e-05,0.0008332228897231106,0.001050909211696096,0.5018101287644711
d_volume,OOS,15,high,40183,1.615739779695956e-05,3.7536128523640855e-05,0.0010841219250703677,0.0013483922520719867,0.5079013513177214
d_volume,OOS,30,low,39567,3.442910201432548e-05,7.53097111871881e-05,0.0015624153147162445,0.0019779479163246055,0.5160866378547779
d_volume,OOS,30,mid,72305,4.141677197720955e-06,4.135991397147265e-05,0.001179675152795731,0.0015010259210253237,0.5132701749533227
d_volume,OOS,30,high,38418,2.7195737079662685e-05,7.573608266564502e-05,0.0015206720898291066,0.001913383610481692,0.5163465042428028
d_volume,OOS,60,low,36545,5.872209491352404e-05,0.00015704134113314616,0.0021682534133023283,0.0027599056959830993,0.5292105623204268
d_volume,OOS,60,mid,65679,1.5677619201477363e-05,0.00011031845259990014,0.0016886099776782981,0.0021463274552133596,0.5250841212564138
d_volume,OOS,60,high,35305,5.111578761851286e-05,0.00015555728396976498,0.002116775101066548,0.002680175166929461,0.529811641410565
vol_accel,Discovery,1,low,309053,1.2879840515192396e-07,0.0,0.00025708517982683257,,0.4085027487194753
vol_accel,Discovery,1,mid,309010,8.031356975587932e-07,0.0,0.00020887767867758023,,0.40195786544124784
vol_accel,Discovery,1,high,306650,6.246637333520978e-07,0.0,0.00027301591600164686,,0.4117691178868417
vol_accel,Discovery,5,low,305450,1.9559766652195915e-06,0.0,0.0005548169458309079,0.0007021336479105613,0.46267474218366345
vol_accel,Discovery,5,mid,307280,5.214352547663064e-06,0.0,0.00045188499797466666,0.0005780842709992602,0.4608565477740172
vol_accel,Discovery,5,high,302182,-1.2043317600021846e-07,0.0,0.0005795207053845353,0.0007313622676562759,0.4630322123753235
vol_accel,Discovery,15,low,296719,5.921472830254183e-06,0.0,0.0009391052233879082,0.0012562189989724847,0.4909291282324354
vol_accel,Discovery,15,mid,301934,1.204078454491991e-05,0.0,0.0007744046123270382,0.0010431668322560931,0.49172004477799786
vol_accel,Discovery,15,high,291851,6.283267845507355e-06,0.0,0.0009747436839602993,0.0013010005815098581,0.4910519408876447
vol_accel,Discovery,30,low,284075,1.8281044438357792e-05,8.864462370361537e-05,0.001306036447187941,0.0017730999762464027,0.5069963917979406
vol_accel,Discovery,30,mid,290904,2.5323598192687338e-05,8.496538044266977e-05,0.0010918032776456202,0.0014839459962177417,0.5092126612215714
vol_accel,Discovery,30,high,279048,1.6750067768058452e-05,9.06988347065818e-05,0.0013549776054501352,0.0018342665644856119,0.506927123648978
vol_accel,Discovery,60,low,260066,3.2110603676931464e-05,0.00012981955082436158,0.0018057613615695262,0.0024728547603630703,0.5204986426522498
vol_accel,Discovery,60,mid,265561,4.3797951920758406e-05,0.0001221448638084599,0.0015310464033417809,0.0021005241759184737,0.5234089342938157
