resolver,session,T_offset,horizon,universe,split,n,win,E
mom5_follow,ASIA,180,30,HIGH,Y2026,94,0.6063829787234043,4.25531914893617
mom5_follow,ASIA,180,60,ALL,IS,1938,0.47832817337461303,0.06862745098039216
mom5_follow,ASIA,180,60,ALL,Validation,761,0.48620236530880423,0.5371222076215506
mom5_follow,ASIA,180,60,ALL,OOS,410,0.5317073170731708,3.5390243902439025
mom5_follow,ASIA,180,60,ALL,Y2025,255,0.5058823529411764,3.0431372549019606
mom5_follow,ASIA,180,60,ALL,Y2026,155,0.5741935483870968,4.354838709677419
mom5_follow,ASIA,180,60,HIGH,IS,655,0.4946564885496183,0.8942748091603053
mom5_follow,ASIA,180,60,HIGH,Validation,168,0.4642857142857143,3.599702380952381
mom5_follow,ASIA,180,60,HIGH,OOS,197,0.6091370558375635,7.864213197969543
mom5_follow,ASIA,180,60,HIGH,Y2025,103,0.5825242718446602,8.303398058252426
mom5_follow,ASIA,180,60,HIGH,Y2026,94,0.6382978723404256,7.382978723404255
mom15_follow,LONDON,30,30,ALL,IS,2347,0.48913506604175544,0.2475500639113762
mom15_follow,LONDON,30,30,ALL,Validation,770,0.4909090909090909,-0.849025974025974
mom15_follow,LONDON,30,30,ALL,OOS,408,0.4632352941176471,-1.7224264705882353
mom15_follow,LONDON,30,30,ALL,Y2025,256,0.46875,-1.5693359375
mom15_follow,LONDON,30,30,ALL,Y2026,152,0.45394736842105265,-1.980263157894737
mom15_follow,LONDON,30,30,HIGH,IS,809,0.48331273176761436,0.7793572311495673
mom15_follow,LONDON,30,30,HIGH,Validation,323,0.4582043343653251,-2.8343653250773992
mom15_follow,LONDON,30,30,HIGH,OOS,67,0.417910447761194,-8.029850746268657
mom15_follow,LONDON,30,30,HIGH,Y2025,49,0.4489795918367347,-8.056122448979592
