session_date,variant,sl_mode,tp_mode,bias,daily_fvg_state,h7_state,entry_ts,entry_price,sl,tp,tp_used,exit_ts,exit_price,exit_reason,r_mult,pnl_pts,pnl_nq,pnl_mnq,risk_pts,weekday,entry_hour,grid_key
2014-09-10,D,B,liquidity,-1,no_fvg,no_cont,2014-09-10 09:54:00-04:00,4061.25,4074.0,4060.75,liquidity,2014-09-10 09:55:00-04:00,4061.0,TP,0.0,0.0,-5.0,-5.0,12.75,2,9,D_SLB_TPliquidity
2014-09-16,D,B,liquidity,-1,no_fvg,cont_match,2014-09-16 10:09:00-04:00,4024.5,4026.25,4023.75,liquidity,2014-09-16 10:10:00-04:00,4026.5,SL,-1.2857142857142858,-2.25,-50.0,-9.5,1.75,1,10,D_SLB_TPliquidity
2014-09-17,D,B,liquidity,1,confirmed,no_cont,2014-09-17 09:19:00-04:00,4058.75,4056.0,4059.125,liquidity,2014-09-17 09:24:00-04:00,4058.875,TP,-0.045454545454545456,-0.125,-7.5,-5.25,2.75,2,9,D_SLB_TPliquidity
2014-12-17,D,B,liquidity,-1,untested,no_cont,2014-12-17 09:59:00-05:00,4109.25,4110.75,4105.25,liquidity,2014-12-17 10:01:00-05:00,4111.0,SL,-1.3333333333333333,-2.0,-45.0,-9.0,1.5,2,9,D_SLB_TPliquidity
2015-02-23,D,B,liquidity,1,untested,no_cont,2015-02-23 09:49:00-05:00,4437.25,4434.0,4437.5,liquidity,2015-02-23 09:52:00-05:00,4437.25,TP,-0.07692307692307693,-0.25,-10.0,-5.5,3.25,0,9,D_SLB_TPliquidity
2015-02-27,D,B,liquidity,1,confirmed,no_cont,2015-02-27 08:34:00-05:00,4458.5,4454.75,4459.0,liquidity,2015-02-27 08:36:00-05:00,4458.75,TP,0.0,0.0,-5.0,-5.0,3.75,4,8,D_SLB_TPliquidity
2015-03-17,D,B,liquidity,1,confirmed,no_cont,2015-03-17 10:04:00-04:00,4357.0,4353.75,4360.5,liquidity,2015-03-17 10:06:00-04:00,4353.5,SL,-1.1538461538461537,-3.75,-80.0,-12.5,3.25,1,10,D_SLB_TPliquidity
2015-05-04,D,B,liquidity,1,confirmed,cont_match,2015-05-04 09:09:00-04:00,4479.0,4477.5,4481.25,liquidity,2015-05-04 09:27:00-04:00,4481.0,TP,1.1666666666666667,1.75,30.0,-1.5,1.5,0,9,D_SLB_TPliquidity
2015-05-19,D,B,liquidity,1,confirmed,cont_match,2015-05-19 08:49:00-04:00,4520.75,4520.25,4526.5,liquidity,2015-05-19 08:50:00-04:00,4520.0,SL,-2.0,-1.0,-25.0,-7.0,0.5,1,8,D_SLB_TPliquidity
2015-05-26,D,B,liquidity,1,confirmed,no_cont,2015-05-26 08:34:00-04:00,4521.0,4519.5,4522.0,liquidity,2015-05-26 08:36:00-04:00,4519.25,SL,-1.3333333333333333,-2.0,-45.0,-9.0,1.5,1,8,D_SLB_TPliquidity
