session_date,year,split,side,relative_volume,reentry_close_min,entry_min,entry,stop,target,target_name,risk_points,reward_r,exit_kind,net_points
2016-11-11,2016,Train,short,0.39177660014281956,764,765,4746.75,4756.5,4706.0,opposite_ib,9.75,4.17948717948718,time,-3.75
2016-11-21,2016,Train,short,0.359207033529755,724,725,4849.5,4854.5,4834.0,ib_mid,5.0,3.1,stop,-6.0
2016-11-21,2016,Train,short,0.359207033529755,724,725,4849.5,4854.5,4817.25,opposite_ib,5.0,6.45,stop,-6.0
2016-11-23,2016,Train,long,0.5427475273661609,704,705,4837.5,4830.0,4849.25,ib_mid,7.5,1.5666666666666667,target,10.75
2016-11-23,2016,Train,long,0.5427475273661609,704,705,4837.5,4830.0,4862.0,opposite_ib,7.5,3.2666666666666666,time,12.0
2016-12-08,2016,Train,short,0.46952077183667806,674,675,4864.25,4867.25,4853.0,ib_mid,3.0,3.75,stop,-4.0
2016-12-08,2016,Train,short,0.46952077183667806,674,675,4864.25,4867.25,4840.75,opposite_ib,3.0,7.833333333333333,stop,-4.0
2016-12-13,2016,Train,short,0.4706717543703967,779,780,4947.25,4961.5,4916.875,ib_mid,14.25,2.1315789473684212,stop,-15.25
2016-12-13,2016,Train,short,0.4706717543703967,779,780,4947.25,4961.5,4886.25,opposite_ib,14.25,4.280701754385965,stop,-15.25
2016-12-23,2016,Train,long,0.529107819497072,664,665,4929.5,4927.0,4934.75,ib_mid,2.5,2.1,stop,-3.5
2016-12-23,2016,Train,long,0.529107819497072,664,665,4929.5,4927.0,4940.75,opposite_ib,2.5,4.5,stop,-3.5
2016-12-28,2016,Train,long,0.614694838311943,749,750,4938.25,4933.5,4958.125,ib_mid,4.75,4.184210526315789,stop,-5.75
2016-12-28,2016,Train,long,0.614694838311943,749,750,4938.25,4933.5,4979.0,opposite_ib,4.75,8.578947368421053,stop,-5.75
2017-01-04,2017,Train,short,0.2843343653250774,739,740,4933.25,4936.25,4922.875,ib_mid,3.0,3.4583333333333335,stop,-4.0
2017-01-04,2017,Train,short,0.2843343653250774,739,740,4933.25,4936.25,4912.0,opposite_ib,3.0,7.083333333333333,stop,-4.0
2017-01-09,2017,Train,short,0.369274623706999,684,685,5018.5,5023.5,5012.625,ib_mid,5.0,1.175,stop,-6.0
2017-01-09,2017,Train,short,0.369274623706999,684,685,5018.5,5023.5,5004.75,opposite_ib,5.0,2.75,stop,-6.0
2017-01-13,2017,Train,short,0.4546459323994345,704,705,5059.75,5062.25,5049.875,ib_mid,2.5,3.95,stop,-3.5
2017-01-13,2017,Train,short,0.4546459323994345,704,705,5059.75,5062.25,5040.0,opposite_ib,2.5,7.9,stop,-3.5
2017-01-17,2017,Train,short,0.3022742859261181,669,670,5044.0,5050.25,5035.625,ib_mid,6.25,1.34,target,7.375
2017-01-17,2017,Train,short,0.3022742859261181,669,670,5044.0,5050.25,5025.0,opposite_ib,6.25,3.04,time,4.5
2017-01-19,2017,Train,long,0.5389690175989111,639,640,5053.75,5052.0,5064.25,ib_mid,1.75,6.0,stop,-2.75
2017-01-19,2017,Train,long,0.5389690175989111,639,640,5053.75,5052.0,5074.75,opposite_ib,1.75,12.0,stop,-2.75
2017-01-20,2017,Train,long,0.4600160053090781,654,655,5062.5,5059.25,5072.5,ib_mid,3.25,3.076923076923077,stop,-4.25
2017-01-20,2017,Train,long,0.4600160053090781,654,655,5062.5,5059.25,5083.0,opposite_ib,3.25,6.3076923076923075,stop,-4.25
2017-01-25,2017,Train,short,0.5212427627823534,694,695,5132.5,5141.25,5128.625,ib_mid,8.75,0.44285714285714284,stop,-9.75
2017-01-25,2017,Train,short,0.5212427627823534,694,695,5132.5,5141.25,5123.5,opposite_ib,8.75,1.0285714285714285,stop,-9.75
2017-01-31,2017,Train,long,0.5369501315043061,739,740,5090.5,5083.0,5101.5,ib_mid,7.5,1.4666666666666666,target,10.0
2017-01-31,2017,Train,long,0.5369501315043061,739,740,5090.5,5083.0,5112.5,opposite_ib,7.5,2.933333333333333,target,21.0
2017-02-03,2017,Train,long,0.5361137138414306,709,710,5145.75,5142.0,5153.625,ib_mid,3.75,2.1,target,6.875
2017-02-03,2017,Train,long,0.5361137138414306,709,710,5145.75,5142.0,5162.25,opposite_ib,3.75,4.4,time,9.5
2017-02-06,2017,Train,short,0.5003077956237059,754,755,5155.25,5163.75,5149.125,ib_mid,8.5,0.7205882352941176,target,5.125
2017-02-06,2017,Train,short,0.5003077956237059,754,755,5155.25,5163.75,5142.75,opposite_ib,8.5,1.4705882352941178,time,-6.25
2017-02-17,2017,Train,short,0.29036845507433745,784,785,5309.25,5312.5,5302.25,ib_mid,3.25,2.1538461538461537,stop,-4.25
2017-02-17,2017,Train,short,0.29036845507433745,784,785,5309.25,5312.5,5293.5,opposite_ib,3.25,4.846153846153846,stop,-4.25
2017-02-24,2017,Train,short,0.30000000000000004,774,775,5322.75,5326.75,5315.375,ib_mid,4.0,1.84375,stop,-5.0
2017-02-24,2017,Train,short,0.30000000000000004,774,775,5322.75,5326.75,5306.25,opposite_ib,4.0,4.125,stop,-5.0
2017-03-10,2017,Train,long,0.38099956648293803,864,865,5382.75,5366.5,5390.625,ib_mid,16.25,0.4846153846153846,time,5.5
2017-03-10,2017,Train,long,0.38099956648293803,864,865,5382.75,5366.5,5399.0,opposite_ib,16.25,1.0,time,5.5
2017-03-13,2017,Train,short,0.4418653345697108,889,890,5396.0,5398.5,5390.625,ib_mid,2.5,2.15,stop,-3.5
2017-03-13,2017,Train,short,0.4418653345697108,889,890,5396.0,5398.5,5385.25,opposite_ib,2.5,4.3,stop,-3.5
2017-03-14,2017,Train,long,0.5618907731339298,649,650,5366.75,5363.25,5377.625,ib_mid,3.5,3.107142857142857,target,9.875
2017-03-14,2017,Train,long,0.5618907731339298,649,650,5366.75,5363.25,5388.5,opposite_ib,3.5,6.214285714285714,time,18.75
2017-03-15,2017,Train,short,0.5951463790446841,799,800,5396.0,5402.5,5388.875,ib_mid,6.5,1.0961538461538463,stop,-7.5
2017-03-15,2017,Train,short,0.5951463790446841,799,800,5396.0,5402.5,5380.0,opposite_ib,6.5,2.4615384615384617,stop,-7.5
2017-03-17,2017,Train,long,0.5146577560370663,679,680,5411.75,5409.25,5415.625,ib_mid,2.5,1.55,stop,-3.5
2017-03-17,2017,Train,long,0.5146577560370663,679,680,5411.75,5409.25,5421.0,opposite_ib,2.5,3.7,stop,-3.5
2017-03-22,2017,Train,short,0.5977138352384707,664,665,5350.0,5355.0,5343.375,ib_mid,5.0,1.325,stop,-6.0
2017-03-22,2017,Train,short,0.5977138352384707,664,665,5350.0,5355.0,5333.25,opposite_ib,5.0,3.35,stop,-6.0
2017-03-23,2017,Train,short,0.6302385123298747,659,660,5367.5,5373.0,5358.625,ib_mid,5.5,1.6136363636363635,stop,-6.5
2017-03-23,2017,Train,short,0.6302385123298747,659,660,5367.5,5373.0,5348.5,opposite_ib,5.5,3.4545454545454546,stop,-6.5
2017-03-24,2017,Train,short,0.2692212105465308,724,725,5392.75,5394.0,5382.875,ib_mid,1.25,7.9,stop,-2.25
2017-03-24,2017,Train,short,0.2692212105465308,724,725,5392.75,5394.0,5373.0,opposite_ib,1.25,15.8,stop,-2.25
2017-03-27,2017,Train,short,0.6126647114709406,639,640,5350.0,5354.5,5334.625,ib_mid,4.5,3.4166666666666665,stop,-5.5
2017-03-27,2017,Train,short,0.6126647114709406,639,640,5350.0,5354.5,5317.25,opposite_ib,4.5,7.277777777777778,stop,-5.5
2017-03-31,2017,Train,short,0.570923726317856,714,715,5443.75,5448.75,5435.875,ib_mid,5.0,1.575,stop,-6.0
2017-03-31,2017,Train,short,0.570923726317856,714,715,5443.75,5448.75,5427.25,opposite_ib,5.0,3.3,stop,-6.0
2017-04-04,2017,Train,short,0.42148477591515565,899,900,5433.75,5439.75,5425.5,ib_mid,6.0,1.375,stop,-7.0
2017-04-04,2017,Train,short,0.42148477591515565,899,900,5433.75,5439.75,5415.5,opposite_ib,6.0,3.0416666666666665,stop,-7.0
2017-04-07,2017,Train,short,0.35969839583017055,869,870,5430.0,5434.5,5415.75,ib_mid,4.5,3.1666666666666665,time,7.25
2017-04-07,2017,Train,short,0.35969839583017055,869,870,5430.0,5434.5,5400.0,opposite_ib,4.5,6.666666666666667,time,7.25
2017-04-19,2017,Train,short,0.58210067523317,694,695,5428.25,5431.0,5420.375,ib_mid,2.75,2.8636363636363638,target,6.875
2017-04-19,2017,Train,short,0.58210067523317,694,695,5428.25,5431.0,5412.0,opposite_ib,2.75,5.909090909090909,target,15.25
2017-04-28,2017,Train,long,0.6210720887245841,699,700,5575.25,5574.5,5585.5,ib_mid,0.75,13.666666666666666,stop,-1.75
2017-04-28,2017,Train,long,0.6210720887245841,699,700,5575.25,5574.5,5595.5,opposite_ib,0.75,27.0,stop,-1.75
2017-05-02,2017,Train,short,0.4654842414189103,794,795,5638.0,5642.0,5630.5,ib_mid,4.0,1.875,target,6.5
2017-05-02,2017,Train,short,0.4654842414189103,794,795,5638.0,5642.0,5622.5,opposite_ib,4.0,3.875,time,-0.75
