stop_rule,target_r,filter,period,n,E,PF,win
1.00x_ib_width,0.75,highvol_early,OOS,69,24.882246376811594,1.5477785754167663,0.5942028985507246
1.00x_ib_width,0.75,highvol_early,Train,387,-0.24386304909560724,0.9756984678769152,0.5167958656330749
1.00x_ib_width,0.75,highvol_early,Validation,164,10.385670731707316,1.2968239445824075,0.6036585365853658
1.00x_ib_width,0.75,low_volume,Inner,210,11.317559523809523,1.719499735109362,0.6095238095238096
1.00x_ib_width,0.75,low_volume,OOS,136,3.6613051470588234,1.0891721883954155,0.5735294117647058
1.00x_ib_width,0.75,low_volume,Train,481,-1.6113565488565489,0.793233960250767,0.47193347193347196
1.00x_ib_width,0.75,low_volume,Validation,201,0.7751865671641791,1.021150061083209,0.5323383084577115
1.00x_ib_width,1.0,all,Inner,677,4.674298375184638,1.1910381985843432,0.5612998522895125
1.00x_ib_width,1.0,all,OOS,370,2.2581081081081082,1.0426792669689036,0.527027027027027
1.00x_ib_width,1.0,all,Train,1441,-0.7154753643303262,0.9229821088409965,0.46911866759195003
1.00x_ib_width,1.0,all,Validation,695,3.043525179856115,1.0764566616063038,0.5467625899280576
1.00x_ib_width,1.0,early,Inner,464,5.221443965517241,1.1954067024236803,0.5625
1.00x_ib_width,1.0,early,OOS,266,0.5028195488721805,1.0085191082802547,0.5300751879699248
1.00x_ib_width,1.0,early,Train,970,-0.7546391752577319,0.9263359162725169,0.4711340206185567
1.00x_ib_width,1.0,early,Validation,496,6.627520161290323,1.1598002041709203,0.5645161290322581
1.00x_ib_width,1.0,high_volume,Inner,195,9.36025641025641,1.402924944812362,0.5333333333333333
1.00x_ib_width,1.0,high_volume,OOS,85,6.55,1.1187923401077506,0.4823529411764706
1.00x_ib_width,1.0,high_volume,Train,481,0.30717255717255715,1.030794080867028,0.47401247401247404
1.00x_ib_width,1.0,high_volume,Validation,188,9.764627659574469,1.2677191191483157,0.5531914893617021
1.00x_ib_width,1.0,highvol_early,Inner,167,12.179640718562874,1.5452352231604343,0.5269461077844312
1.00x_ib_width,1.0,highvol_early,OOS,69,18.507246376811594,1.3648571428571428,0.5362318840579711
1.00x_ib_width,1.0,highvol_early,Train,387,0.6414728682170543,1.0610513372271748,0.48578811369509045
1.00x_ib_width,1.0,highvol_early,Validation,164,11.112804878048781,1.3016759776536313,0.5670731707317073
1.00x_ib_width,1.0,low_volume,Inner,210,10.478571428571428,1.636856956804862,0.5904761904761905
